Time [s], Analyzer Name, Decoded Protocol Result
0.068646712000000,I2C,Setup Write to [0x36] + ACK
0.068736708000000,I2C,0x38 + ACK
0.068826708000000,I2C,0x20 + ACK
0.068916708000000,I2C,0x00 + ACK
0.069036708000000,I2C,Setup Write to [0x36] + ACK
0.069126708000000,I2C,0x38 + ACK
0.069216708000000,I2C,0x21 + ACK
0.069306708000000,I2C,0x02 + ACK
0.069436708000000,I2C,Setup Write to [0x36] + ACK
0.069526704000000,I2C,0x35 + ACK
0.069616704000000,I2C,0x0A + ACK
0.069706708000000,I2C,0x00 + ACK
0.069826708000000,I2C,Setup Write to [0x36] + ACK
0.069916704000000,I2C,0x35 + ACK
0.070006704000000,I2C,0x0B + ACK
0.070096704000000,I2C,0x10 + ACK
0.070221704000000,I2C,Setup Write to [0x36] + ACK
0.070311704000000,I2C,0x32 + ACK
0.070401704000000,I2C,0x12 + ACK
0.070491700000000,I2C,0x00 + ACK
0.070611704000000,I2C,Setup Write to [0x36] + ACK
0.070701700000000,I2C,0x38 + ACK
0.070791700000000,I2C,0x0E + ACK
0.070881700000000,I2C,0x04 + ACK
0.070971700000000,I2C,0x66 + ACK
0.071091704000000,I2C,Setup Write to [0x36] + ACK
0.071181700000000,I2C,0x35 + ACK
0.071271700000000,I2C,0x00 + ACK
0.071361700000000,I2C,0x00 + ACK
0.071481700000000,I2C,Setup Write to [0x36] + ACK
0.071571700000000,I2C,0x35 + ACK
0.071661696000000,I2C,0x01 + ACK
0.071751696000000,I2C,0x15 + ACK
0.071871700000000,I2C,Setup Write to [0x36] + ACK
0.071961696000000,I2C,0x35 + ACK
0.072051696000000,I2C,0x02 + ACK
0.072141696000000,I2C,0x20 + ACK
0.072261696000000,I2C,Setup Write to [0x36] + ACK
0.072351696000000,I2C,0x32 + ACK
0.072441696000000,I2C,0x12 + ACK
0.072531696000000,I2C,0x10 + ACK
0.072651696000000,I2C,Setup Write to [0x36] + ACK
0.072741692000000,I2C,0x32 + ACK
0.072831692000000,I2C,0x12 + ACK
0.072921692000000,I2C,0xA0 + ACK
0.073046696000000,I2C,Setup Write to [0x36] + ACK
0.073136692000000,I2C,0x35 + ACK
0.073226692000000,I2C,0x0A + ACK
0.073316692000000,I2C,0x00 + ACK
0.073436692000000,I2C,Setup Write to [0x36] + ACK
0.073526692000000,I2C,0x35 + ACK
0.073616692000000,I2C,0x0B + ACK
0.073706692000000,I2C,0x10 + ACK
0.078796672000000,I2C,Setup Write to [0x36] + ACK
0.078886672000000,I2C,0x35 + ACK
0.078976672000000,I2C,0x0A + ACK
0.079066672000000,I2C,0x00 + ACK
0.079186672000000,I2C,Setup Write to [0x36] + ACK
0.079276668000000,I2C,0x35 + ACK
0.079366668000000,I2C,0x0B + ACK
0.079456668000000,I2C,0x10 + ACK
0.079581668000000,I2C,Setup Write to [0x36] + ACK
0.079671668000000,I2C,0x32 + ACK
0.079761668000000,I2C,0x12 + ACK
0.079851668000000,I2C,0x00 + ACK
0.079971668000000,I2C,Setup Write to [0x36] + ACK
0.080061668000000,I2C,0x35 + ACK
0.080151668000000,I2C,0x00 + ACK
0.080241668000000,I2C,0x00 + ACK
0.080361668000000,I2C,Setup Write to [0x36] + ACK
0.080451664000000,I2C,0x35 + ACK
0.080541664000000,I2C,0x01 + ACK
0.080631664000000,I2C,0x15 + ACK
0.080751664000000,I2C,Setup Write to [0x36] + ACK
0.080841664000000,I2C,0x35 + ACK
0.080931664000000,I2C,0x02 + ACK
0.081021664000000,I2C,0x20 + ACK
0.081141664000000,I2C,Setup Write to [0x36] + ACK
0.081231660000000,I2C,0x32 + ACK
0.081321660000000,I2C,0x12 + ACK
0.081411660000000,I2C,0x10 + ACK
0.081531660000000,I2C,Setup Write to [0x36] + ACK
0.081621660000000,I2C,0x32 + ACK
0.081711660000000,I2C,0x12 + ACK
0.081801660000000,I2C,0xA0 + ACK
0.083046656000000,I2C,Setup Write to [0x36] + ACK
0.083136656000000,I2C,0x01 + ACK
0.083226656000000,I2C,0x00 + ACK
0.083316656000000,I2C,0x01 + ACK
0.089021632000000,I2C,Setup Write to [0x36] + ACK
0.089111632000000,I2C,0x35 + ACK
0.089201632000000,I2C,0x0A + ACK
0.089291632000000,I2C,0x00 + ACK
0.089411632000000,I2C,Setup Write to [0x36] + ACK
0.089501632000000,I2C,0x35 + ACK
0.089591632000000,I2C,0x0B + ACK
0.089681632000000,I2C,0x10 + ACK
0.089806632000000,I2C,Setup Write to [0x36] + ACK
0.089896628000000,I2C,0x32 + ACK
0.089986628000000,I2C,0x12 + ACK
0.090076628000000,I2C,0x00 + ACK
0.090196628000000,I2C,Setup Write to [0x36] + ACK
0.090286628000000,I2C,0x35 + ACK
0.090376628000000,I2C,0x00 + ACK
0.090466628000000,I2C,0x00 + ACK
0.090586628000000,I2C,Setup Write to [0x36] + ACK
0.090676628000000,I2C,0x35 + ACK
0.090766628000000,I2C,0x01 + ACK
0.090856624000000,I2C,0x15 + ACK
0.090976628000000,I2C,Setup Write to [0x36] + ACK
0.091066624000000,I2C,0x35 + ACK
0.091156624000000,I2C,0x02 + ACK
0.091246624000000,I2C,0x20 + ACK
0.091366624000000,I2C,Setup Write to [0x36] + ACK
0.091456624000000,I2C,0x32 + ACK
0.091546624000000,I2C,0x12 + ACK
0.091636624000000,I2C,0x10 + ACK
0.091756624000000,I2C,Setup Write to [0x36] + ACK
0.091846620000000,I2C,0x32 + ACK
0.091936620000000,I2C,0x12 + ACK
0.092026620000000,I2C,0xA0 + ACK
